threshold,TP,TN,FP,FN,joint_f1,joint_f1_ci_low,joint_f1_ci_median,joint_f1_ci_high,positive_joint_recall,positive_joint_recall_ci_low,positive_joint_recall_ci_high,accepted_below_n,accepted_below_rate_all_positive,accepted_below_rate_ci_low,accepted_below_rate_ci_high,f1_gap_vs_identification,f1_gap_ci_low,f1_gap_ci_high
0.83,56,136,4,84,0.56,0.4761904776096344,0.5600000023841858,0.6415094137191772,0.4,0.3214285671710968,0.48571428656578064,77,0.55,0.4642857015132904,0.6285714507102966,0.40028880866425987,0.3223481483757496,0.4821522764861583
0.84,55,136,4,85,0.5527638190954773,0.4680851101875305,0.552763819694519,0.6346267551183699,0.39285714285714285,0.3142857253551483,0.47857141494750977,78,0.5571428571428572,0.4714285731315613,0.6357142925262451,0.4075249895687826,0.3289559416472912,0.48878562450408936
0.85,49,136,4,91,0.5077720207253886,0.41988950967788696,0.5077720284461975,0.5911329984664917,0.35,0.27142858505249023,0.4285714328289032,84,0.6,0.5142857432365417,0.6785714030265808,0.4525167879388713,0.37202951312065125,0.5380189254879951
0.86,46,136,4,94,0.4842105263157895,0.39344263076782227,0.4842105209827423,0.5685279369354248,0.32857142857142857,0.25,0.40714284777641296,87,0.6214285714285714,0.5428571701049805,0.699999988079071,0.47607828234847044,0.3941085934638977,0.5627784803509712
0.87,44,136,4,96,0.46808510638297873,0.37928704097867016,0.4680851101875305,0.5544554591178894,0.3142857142857143,0.24285714328289032,0.3928571343421936,89,0.6357142857142857,0.5571428537368774,0.7142857313156128,0.4922037022812812,0.4077419340610504,0.5798459053039551
0.88,41,136,4,99,0.44324324324324327,0.35227271914482117,0.44324323534965515,0.5284973978996277,0.29285714285714287,0.22142857313156128,0.37142857909202576,92,0.6571428571428571,0.5785714387893677,0.7285714149475098,0.5170455654210167,0.43187368139624593,0.6055671721696853
0.89,37,136,4,103,0.4088397790055249,0.3176470696926117,0.40883979201316833,0.49473956301808353,0.2642857142857143,0.19285714626312256,0.33571428060531616,96,0.6857142857142857,0.6071428656578064,0.7571428418159485,0.5514490296587351,0.46563314720988275,0.6411307454109192
0.9,33,136,4,107,0.3728813559322034,0.28070175647735596,0.37288135290145874,0.4615591421723363,0.2357142857142857,0.17142857611179352,0.30714285373687744,100,0.7142857142857143,0.6357142925262451,0.7857142686843872,0.5874074527320565,0.4996568262577057,0.6783145070075989
0.91,32,136,4,108,0.36363636363636365,0.27218934893608093,0.3636363744735718,0.45303866267204285,0.22857142857142856,0.16428571939468384,0.30000001192092896,101,0.7214285714285714,0.6428571343421936,0.7928571701049805,0.5966524450278963,0.5084885239601136,0.6867639422416687
0.92,28,136,4,112,0.32558139534883723,0.23456789553165436,0.3255814015865326,0.41530054807662964,0.2,0.13571429252624512,0.27142858505249023,105,0.75,0.6785714030265808,0.8214285969734192,0.6347074133154227,0.545093297958374,0.7245967164635658
0.93,27,136,4,113,0.3157894736842105,0.22499999403953552,0.31578946113586426,0.4065934121608734,0.19285714285714287,0.12857143580913544,0.26428571343421936,106,0.7571428571428571,0.6857143044471741,0.8214285969734192,0.6444993349800494,0.5539800524711609,0.7328737959265709
0.94,24,136,4,116,0.2857142857142857,0.1975308656692505,0.2857142984867096,0.374348274618387,0.17142857142857143,0.11428571492433548,0.23571428656578064,109,0.7785714285714286,0.7071428298950195,0.8428571224212646,0.6745745229499742,0.5878949090838432,0.764028787612915
